曲名,アーティスト,作品名,ファイル名
晴る,ヨルシカ,葬送のフリーレン,晴る.mp4
天地ガエシ,NICO Touches the Walls,ハイキュー!!,天地ガエシ.mp4
スターマーカー,KANA-BOON,僕のヒーローアカデミア,スターマーカー.mp4
Sweet Magic,F/ACE,多田くんは今どっち!?,Sweet Magic.mp4
ワールドイズマイン,かぐや & 月見ヤチヨ,超かぐや姫！,ワールドイズマイン.mp4
Ex-Otogibanashi,かぐや & 月見ヤチヨ,超かぐや姫！,Ex-Otogibanashi.mp4
セレナーデ,なとり,推しの子,セレナーデ.mp4
IRIS OUT,米津玄師,チェンソーマン,IRIS OUT.mp4
ファイアダンス,Vivid BAD SQUAD,プロジェクトセカイ,ファイアダンス.mp4
残響散歌,Aimer,鬼滅の刃,残響散歌.mp4
青春コンプレックス,結束バンド,ぼっち・ざ・ろっく！,青春コンプレックス.mp4
Catch the Moment,LiSA,ソードアート・オンライン,Catch the Moment.mp4
心臓,藍井エイル,ソードアート・オンライン,心臓.mp4
ANIMA,ReoNa,ソードアート・オンライン,ANIMA.mp4
風が吹く街,ラックライフ,文豪ストレイドッグス,風が吹く街.mp4
笑うな！,syudou,クールドジ男子,笑うな！.mp4
はじめてのかくめい！,DIALOGUE+,超人高校生たちは異世界でも余裕で生き抜くようです！,はじめてのかくめい！.mp4
青春サツバツ論,3年E組うた担,暗殺教室,青春サツバツ論.mp4
メロウ,須田景凪,スキップとローファー,メロウ.mp4
贅沢な匙,Van de Shop,とんでもスキルで異世界放浪メシ,贅沢な匙.mp4
